"stock_code","total_qty","total_rev","cluster"
"17090A",109,107.45,2
"17090D",29,36.25,2
"17091A",172,99.29,2
"17091J",2066,876.339999999999,2
"17096",2516,443.76,2
"17107D",171,436.05,2
"17109D",61,32.35,2
"17129F",427,291.25,2
"17136A",404,33.75,2
"17164B",29,12.18,2
"17165D",27,28.35,2
"17174",9,3.78,2
"17191A",4,15,2
"18007",5856,383.76,2
"18094C",134,153.1,2
"18097A",5,12.75,2
"18097C",673,1471.35,2
"18098C",193,540.55,2
"20615",231,233.34,2
"20616",134,122.78,2
"20617",66,137.74,2
"20618",68,137.88,2
"20619",142,206.23,2
"20622",163,240.18,2
"20652",150,194.76,2
"20653",33,43.67,2
"20654",105,126.69,2
"20655",89,109.11,2
"20657",61,76.39,2
"20658",328,410,2
"20659",95,140.81,2
"20661",9,35.07,2
"20662",11,40.97,2
"20663",3,11.69,2
"20664",6,17.7,2
"20665",340,998.200000000001,2
"20666",4,11.8,2
"20667",1,2.95,2
"20668",12714,1408.56,3
"20669",195,243.75,2
"20670",8,29.28,2
"20671",10,12.5,2
"20674",1373,1649.06,2
"20675",2729,3179.9,2
"20676",4363,5046.98,2
"20677",3159,3642.58,2
"20678",4,6.6,2
"20679",1630,9055.87,2
"20681",125,406.25,2
"20682",1140,3629.66,2
"20684",78,253.5,2
"20685",3901,25397.85,3
"20686",255,832.13,2
"20694",36,135,2
"20695",5,21.25,2
"20696",32,120,2
"20697",19,48.45,2
"20698",16,40.8,2
"20699",29,73.95,2
"20700",10,37.5,2
"20701",6,22.5,2
"20702",128,544,2
"20703",1,4.25,2
"20704",211,626.45,2
"20705",143,428.85,2
"20707",155,195.52,2
"20711",4198,7689.28000000001,2
"20712",8187,15511.5999999999,3
"20713",10466,19076.92,3
"20716",314,373.5,2
"20717",2036,2455.88,2
"20718",4264,5115.31,2
"20719",9237,7277.24000000001,3
"20723",6847,5520.95,3
"20724",12809,10125.85,3
"20725",17897,28338.45,3
"20726",9115,14537.11,3
"20727",11291,18024.55,3
"20728",10820,17265.68,3
"20731",74,92.5,2
"20733",918,688.9,2
"20735",158,121.3,2
"20748",53,675.75,2
"20749",1719,12123.41,2
"20750",1712,12216.8,2
"20751",973,1984.26,2
"20752",367,770.700000000002,2
"20754",1356,2670.47999999999,2
"20755",292,248.2,2
"20756",63,53.55,2
"20757",164,140.18,2
"20758",161,136.85,2
"20759",64,54.4,2
"20760",69,58.65,2
"20761",110,419.92,2
"20762",101,382.46,2
"20763",71,189.96,2
"20764",128,491.13,2
"20765",96,374.84,2
"20766",113,422.08,2
"20767",217,541.97,2
"20768",131,320.26,2
"20769",66,173.12,2
"20770",108,259.2,2
"20771",71,183.46,2
"20772",218,534.46,2
"20773",56,92.4,2
"20774",52,85.8,2
"20775",64,105.6,2
"20777",95,156.75,2
"20778",15,24.75,2
"20780",37,198.35,2
"20781",32,161.52,2
"20782",40,221.36,2
"20785",14,523.3,2
"20793",8,54,2
"20794",85,213.15,2
"20795",44,92.4,2
"20796",61,100.65,2
"20798",36,75.6,2
"20801",848,708.16,2
"20802",648,730.44,2
"20803",917,386.25,2
"20816",8,15.6,2
"20818",12,20,2
"20819",48,183.71,2
"20820",5,24.75,2
"20821",16,79.2,2
"20823",164,129.56,2
"20826",276,128.4,2
"20827",88,34.32,2
"20828",1012,2494.2,2
"20829",1265,2530.49,2
"20830",75,157.5,2
"20831",169,272.34,2
"20832",1034,527.04,2
"20835",66,54.78,2
"20836",170,141.1,2
"20837",141,142.47,2
"20838",330,282.94,2
"20839",452,411.84,2
"20840",464,399.28,2
"20845",19,120.65,2
"20846",647,785.47,2
"20847",46,172.5,2
"20848",21,61.95,2
"20851",9,53.55,2
"20854",166,256.1,2
"20856",140,231,2
"20857",32,52.8,2
"20861",2,4.2,2
"20866",409,488.59,2
"20867",187,231.47,2
"20868",381,159.26,2
"20869",139,54.21,2
"20878",25,31.25,2
"20886",453,853.35,2
"20892",1,12.75,2
"20893",259,569.1,2
"20894",25,73.75,2
"20897",85,230.35,2
"20898",25,73.75,2
"20901",4,25.4,2
"20902",33,190.35,2
"20903",20,127,2
"20906",3,8.85,2
"20910",8,50.8,2
"20914",6170,17303.9800000001,3
"20931",263,794.45,2
"20932",189,516.25,2
"20933",23,71.05,2
"20934",54,294.3,2
"20935",6,17.7,2
"20936",92,272.98,2
"20941",61,76.25,2
"20956",730,916.13,2
"20961",1029,1305.61,2
"20963",1102,1400.49,2
"20964",2,5.1,2
"20966",589,698.25,2
"20967",257,963.75,2
"20969",1876,6734.31,2
"20970",1081,3983.63,2
"20971",10225,11629.39,3
"20972",7131,8648.49,3
"20973",4007,2551.15,2
"20974",6734,4235.09999999999,2
"20975",6400,4101.19999999999,2
"20977",1597,1971.93,2
"20978",1631,2014.43,2
"20979",3523,4233.51,2
"20980",27,33.75,2
"20981",1851,1573.35,2
"20982",2019,1709.91,2
"20983",2652,2247.96,2
"20984",3809,1169.01,2
"20985",1017,1160.88,2
"20986",462,546.76,2
"20992",4365,1867.05,2
"20996",3057,648.689999999999,2
"20997",15,74.25,2
"20998",119,348.25,2
"21000",46,195.5,2
"21001",25,148.75,2
"21002",13,55.25,2
"21003",13,82.55,2
"21011",18,26.1,2
"21012",567,1133.3,2
"21014",1233,455.57,2
"21015",1251,377.91,2
"21018",22,18.7,2
"21025",100,127.25,2
"21026",143,177.37,2
"21027",101,122.45,2
"21028",116,148.29,2
"21030",121,153.67,2
"21031",40,51.21,2
"21032",65,84.88,2
"21033",922,1934.75,2
"21034",1893,1798.35000000002,2
"21035",2319,6820.01,2
"21038",77,86.75,2
"21039",510,1284.66,2
"21040",22,29.7,2
"21041",576,1699.2,2
"21042",303,1802.85,2
"21043",443,931.85,2
"21051",108,228.83,2
"21054",68,608.6,2
"21055",146,1368.14,2
"21056",174,1640.18,2
"21058",1049,855.770000000001,2
"21059",573,487.05,2
"21060",356,302.6,2
"21061",412,350.2,2
"21062",501,425.85,2
"21063",483,412.11,2
"21064",176,760.500000000001,2
"21065",487,839.05,2
"21066",688,657.62,2
"21067",203,249.38,2
"21068",1535,1637.71,2
"21069",1868,2049.05,2
"21070",1033,1059.79,2
"21071",849,1025.98,2
"21078",2494,1982.08,2
"21080",12313,9656.79000000001,3
"21084",2199,463.85,2
"21086",6589,4009.49000000001,2
"21087",126,62.12,2
"21088",1576,345.42,2
"21089",231,45.73,2
"21090",1672,708.299999999999,2
"21094",7351,5496.52999999999,3
"21095",95,80.75,2
"21096",1143,479.25,2
"21098",3176,3680.05,2
"21100",43,70.95,2
"21106",193,530.95,2
"21107",840,2218.8,2
"21108",10082,17304.57,3
"21109",837,2131.35,2
"21110",775,2295.05,2
"21111",789,1291.55,2
"21112",1245,2551.83,2
"21114",1352,1705.28,2
"21115",523,2580.21,2
"21116",489,2339.19,2
"21117",115,149.25,2
"21121",6502,7799.18,3
"21122",5257,6353.58,2
"21123",975,1215.81,2
"21124",3970,4798.34,2
"21125",598,747.5,2
"21126",488,605.44,2
"21128",47,284.16,2
"21129",45,332.3,2
"21131",93,290.25,2
"21132",35,142.75,2
"21135",2708,2975.24,2
"21136",4476,7491.40000000005,2
"21137",11406,39064.5500000001,3
"21143",296,577.2,2
"21145",122,152.5,2
"21147",89,200.94,2
"21154",3187,3751.63,2
"21155",2460,5880.05000000003,2
"21156",3039,5587.87,2
"21157",49,102.9,2
"21158",1427,686.909999999999,2
"21159",1109,542.749999999999,2
"21161",131,189.95,2
"21162",1416,696.399999999999,2
"21163",1176,603.86,2
"21164",1714,4850.61999999999,2
"21165",4027,6405.31,2
"21166",10209,20315.3299999999,3
"21167",1260,264.6,2
"21169",4281,6762.56999999999,2
"21171",424,566.8,2
"21172",3335,4708.27,2
"21174",3926,8372.69999999999,2
"21175",11993,26107.4399999998,3
"21179",1785,1021.23,2
"21181",11963,23930.9200000001,3
"21187",330,525.3,2
"21188",294,838.5,2
"21189",165,272.25,2
"21190",168,245.2,2
"21191",394,788.04,2
"21192",925,1391.85,2
"21194",437,366.7,2
"21195",417,607.86,2
"21196",89,146.85,2
"21197",243,322.71,2
"21198",964,931.56,2
"21199",864,766.56,2
"21200",1010,1272.9,2
"21201",1175,2672.25,2
"21202",449,404.85,2
"21204",419,691.35,2
"21205",209,532.95,2
"21206",1220,1446.6,2
"21207",982,1533.9,2
"21208",873,531.69,2
"21209",1142,669.12,2
"21210",5680,7947.36999999996,3
"21211",816,1144.8,2
"21212",33693,16394.5300000001,3
"21213",14309,6859.30999999999,3
"21215",868,461.8,2
"21216",1841,8354.87,2
"21217",975,9188.24999999998,2
"21218",2058,7071.2,2
"21219",323,408.59,2
"21220",239,312.06,2
"21221",201,262.14,2
"21222",198,257.18,2
"21224",734,913.7,2
"21226",9,11.25,2
"21228",5,6.25,2
"21231",5757,6875.86,3
"21232",10366,12210.06,3
"21238",3519,2822.41,2
"21239",2574,2051.4,2
"21240",3156,2487.08,2
"21242",3074,4860.98,2
"21243",2113,3329.05,2
"21244",2131,3359.47,2
"21245",1014,1623.1,2
"21246",175,849.45,2
"21248",187,271.15,2
"21249",672,1874.4,2
"21250",92,257,2
"21251",165,486.75,2
"21253",66,192.54,2
"21257",489,3735.39,2
"21258",425,5014.23,2
"21259",1128,6432.10999999998,2
"21260",1129,3530.35,2
"21261",167,520.65,2
"21262",268,790.6,2
"21263",165,321.75,2
"21264",256,499.2,2
"21265",128,249.6,2
"21268",2,0.84,2
"21269",28,238,2
"21270",14,178.5,2
"21272",503,660.07,2
"21275",10,169.5,2
"21277",23,485.9,2
"21278",43,109.65,2
"21279",65,165.75,2
"21280",65,165.75,2
"21281",35,89.25,2
"21284",385,313.53,2
"21285",350,357.62,2
"21286",255,279.37,2
"21287",1788,755.129999999999,2
"21288",256,716.8,2
"21289",443,553.75,2
"21291",920,782,2
"21292",865,591.25,2
"21293",101,214.13,2
"21294",1536,722.88,2
"21306",487,166.57,2
"21307",79,39.2,2
"21310",1,29.95,2
"21311",478,165.77,2
"21313",2843,2110.46,2
"21314",3670,7412.56000000002,2
"21316",149,156.59,2
"21317",96,516.2,2
"21318",680,372.3,2
"21319",147,129.51,2
"21320",186,309.66,2
"21324",69,203.55,2
"21326",10088,6083.20000000002,3
"21327",538,887.699999999998,2
"21328",760,1262.2,2
"21329",589,980.049999999998,2
"21331",11,140.25,2
"21332",14,143.3,2
"21333",55,162.25,2
"21336",8,23.6,2
"21340",928,10161.41,2
"21344",14,139.3,2
"21348",139,355.65,2
"21349",12,81,2
"21351",101,654.55,2
"21352",311,1118.65,2
"21354",753,888.45,2
"21355",777,961.65,2
"21356",304,363.15,2
"21357",19,23.75,2
"21358",328,410,2
"21359",127,759.65,2
"21360",37,194.15,2
"21361",91,1127.85,2
"21363",209,1034.55,2
"21364",25,168.75,2
"21365",348,360,2
"21366",24,102,2
"21367",163,159.51,2
"21368",161,129.15,2
"21369",98,142.5,2
"21370",15,88.2,2
"21371",275,274.65,2
"21372",67,75.73,2
"21373",507,380.25,2
"21374",294,400,2
"21375",24,109.8,2
"21376",33,154.65,2
"21377",93,123.21,2
"21378",129,175.05,2
"21379",147,163.11,2
"21380",2093,5910.14999999999,2
"21381",1699,2733.07000000001,2
"21382",1045,1164.35,2
"21383",772,501.8,2
"21385",3564,2957.64,2
"21386",713,257.57,2
"21389",1018,865.3,2
"21390",3781,4544.13,2
"21391",975,855.45,2
"21392",32,38.13,2
"21393",29,38.67,2
"21394",3822,1538.62,2
"21395",2812,1096.68,2
"21397",1016,445.26,2
"21398",1499,642.75,2
"21399",2047,830.82,2
"21400",837,109.74,2
"21401",1010,132.3,2
"21402",1290,155.4,2
"21403",1718,258.72,2
"21407",233,965,2
"21408",225,764.91,2
"21411",722,2391.46,2
"21413",36,45,2
"21414",1,2.1,2
"21415",206,384.13,2
"21416",5,18.75,2
"21417",289,420.88,2
"21418",59,115.25,2
"21420",48,87.12,2
"21421",298,345.14,2
"21422",1560,1218.36,2
"21424",227,612.05,2
"21425",67,188.05,2
"21426",213,411.3,2
"21427",77,161.7,2
"21428",1099,4263.55,2
"21429",1616,2925,2
"21430",2704,9424.32,2
"21439",1322,1574.98,2
"21441",376,223.3,2
"21442",389,232.01,2
"21445",214,267.5,2
"21446",400,500,2
"21447",749,936.25,2
"21448",327,539.55,2
"21452",745,2140.15,2
"21454",318,270.3,2
"21455",271,230.35,2
"21456",161,201.25,2
"21457",115,143.75,2
"21458",158,197.5,2
"21459",75,146.25,2
"21460",26,50.7,2
"21461",9,17.55,2
"21462",192,859.2,2
"21463",644,3405.3,2
"21464",244,1034,2
"21465",193,727.46,2
"21466",267,982.49,2
"21467",215,813.67,2
"21468",123,468.67,2
"21469",250,941.21,2
"21470",338,1278.63,2
"21471",495,1702.65,2
"21472",119,446.25,2
"21473",22,438.9,2
"21476",31,463.45,2
"21479",2702,10227.72,2
"21481",2925,9218.55,2
"21484",1555,5810.37,2
"21485",3335,15871.7300000001,3
"21486",8,30,2
"21488",3,11.85,2
"21494",1228,1624.73,2
"21495",5800,2356,2
"21497",8600,3430,3
"21498",10547,4320.74,3
"21499",6925,2808.5,2
"21500",6350,2593,2
"21503",726,288.92,2
"21504",1884,763.2,2
"21506",4740,1910.87999999999,2
"21507",3206,1314,2
"21508",2393,971.109999999999,2
"21509",3581,1444.75,2
"21518",265,106.98,2
"21519",3217,1320.9,2
"21520",457,187.62,2
"21523",3088,19157.02,3
"21524",1662,12095.67,2
"21527",468,3540.6,2
"21528",179,1230.05,2
"21530",756,690.120000000001,2
"21531",1473,3459.15,2
"21533",1317,6267.14999999999,2
"21534",327,1593.45,2
"21535",2460,5830.20000000003,2
"21537",327,1341.75,2
"21538",5,18.75,2
"21539",939,4429.64999999999,2
"21544",1872,1522.4,2
"21547",72,212.4,2
"21555",55,140.25,2
"21556",804,1859.4,2
"21557",300,854.04,2
"21558",1946,4624.80000000002,2
"21559",3716,8734.64000000002,2
"21561",1227,2868.78,2
"21562",319,368.35,2
"21563",1358,2591.02,2
"21564",1016,1686.52,2
"21576",177,403.67,2
"21577",549,1235.25,2
"21578",586,1318.5,2
"21579",154,346.5,2
"21580",90,202.5,2
"21581",165,371.25,2
"21584",1066,1754.9,2
"21586",731,1691.25,2
"21587",197,480.75,2
"21588",1497,3450.15,2
"21591",1187,1456.39,2
"21592",2151,2150.71,2
"21609",761,2072.15,2
"21613",221,632.75,2
"21614",48,141.6,2
"21615",840,1195,2
"21616",755,1093.75,2
"21617",473,851.75,2
"21618",303,473.75,2
"21619",900,1252.5,2
"21620",811,1211.25,2
"21621",2540,20962.16,3
"21622",364,1785,2
"21623",3255,22709.1300000001,3
"21624",204,1190.8,2
"21625",307,2140.19,2
"21626",742,1446.9,2
"21627",38,568.1,2
"21628",44,620.4,2
"21629",53,411.35,2
"21630",54,461.3,2
"21631",155,761.85,2
"21632",60,237,2
"21633",87,528.45,2
"21634",948,462.6,2
"21635",270,367.5,2
"21636",917,703.95,2
"21637",109,136.25,2
"21638",235,493.5,2
"21640",541,447.37,2
"21641",1102,367.98,2
"21642",2452,801.24,2
"21643",490,594.26,2
"21644",215,268.75,2
"21647",117,245.7,2
"21648",654,790.14,2
"21650",2197,440.89,2
"21651",131,201.75,2
"21654",946,432.54,2
"21655",36,60.84,2
"21656",117,169.65,2
"21657",28,194.6,2
"21658",773,2874.07,2
"21661",3,17.85,2
"21662",74,416.3,2
"21664",97,346.47,2
"21666",384,249.6,2
"21667",2,29.9,2
"21668",5035,6224.02999999998,2
"21669",4969,6284.24999999998,2
"21670",4004,5028.51999999999,2
"21671",4080,5042.39999999999,2
"21672",4564,5618.03999999998,2
"21673",3994,4960.49999999999,2
"21675",525,447.81,2
"21676",211,191.05,2
"21677",766,655,2
"21678",104,88.4,2
"21679",1054,891.220000000001,2
"21680",804,683.4,2
"21681",2,19.9,2
"21682",177,881.16,2
"21683",297,876.15,2
"21684",764,575.41,2
"21686",33,1268.35,2
"21688",316,932.2,2
"21689",92,345,2
"21690",24,90,2
"21692",17,63.75,2
"21693",358,1056.1,2
"21694",303,817.05,2
"21695",283,834.85,2
"21696",226,666.7,2
"21698",266,116.62,2
"21700",1266,1076.1,2
"21703",9272,3431.35,3
"21704",5004,3856.37999999999,2
"21705",1377,1299.21,2
"21706",229,1134.58,2
"21707",120,601.22,2
"21708",139,682.45,2
"21709",87,430.06,2
"21710",84,412.41,2
"21711",86,420.1,2
"21713",701,1448.1,2
"21714",1085,1356.25,2
"21715",1141,2736.75,2
"21716",1206,2921.72,2
"21717",405,931.95,2
"21718",1289,1613.67,2
"21719",301,255.85,2
"21720",57,48.45,2
"21721",175,148.75,2
"21722",65,55.25,2
"21723",371,315.35,2
"21724",372,316.2,2
"21725",274,232.9,2
"21726",231,196.35,2
"21730",498,2324.14,2
"21731",12871,19844.9099999999,3
"21733",7759,22624.6900000001,3
"21735",210,2551.95,2
"21736",80,137.22,2
"21738",45,132.75,2
"21739",143,417.44,2
"21741",131,386.45,2
"21742",193,1148.35,2
"21743",275,753.65,2
"21744",367,1128.09,2
"21745",929,3412.19,2
"21746",2974,3521.7,2
"21747",437,527.53,2
"21749",1900,3644.99999999999,2
"21750",78,163.8,2
"21754",2654,15630.9600000001,3
"21755",1946,11535.56,2
"21756",792,4727.82999999999,2
"21757",6,29.7,2
"21758",32,202.4,2
"21761",10,299.5,2
"21763",6,169.75,2
"21769",11,607.65,2
"21770",1577,7311.35999999996,2
"21773",920,693.52,2
"21774",835,647.03,2
"21775",283,313.91,2
"21777",7,55.65,2
"21781",138,2012.5,2
"21784",51,507.45,2
"21785",411,267.95,2
"21786",1589,631.15,2
"21787",8755,6964.63,3
"21788",1203,936.93,2
"21789",799,675.13,2
"21790",13336,10447.42,3
"21791",7143,8531.41,3
"21792",331,1388.65,2
"21793",296,1240.44,2
"21794",501,2064.47,2
"21801",457,191.94,2
"21802",1000,420,2
"21803",1138,477.96,2
"21804",178,656.7,2
"21807",415,174.3,2
"21808",100,370,2
"21809",1859,995.3,2
"21810",5305,2443.07,2
"21811",4332,2181.58,2
"21812",218,1037.1,2
"21813",250,1187.1,2
"21814",75,108.75,2
"21815",132,191.4,2
"21816",34,49.3,2
"21817",908,408.86,2
"21818",2699,1281.13,2
"21819",2465,1054.63,2
"21820",291,1079.84,2
"21821",223,825.45,2
"21822",615,567.79,2
"21823",1196,687.98,2
"21824",1450,698,2
"21826",93,116.25,2
"21827",6,7.5,2
"21828",314,392.5,2
"21829",6462,1332.93,2
"21830",2599,1093.63,2
"21832",785,1306.73,2
"21833",2628,4278.12,2
"21836",3,11.25,2
"21839",1,5.45,2
"21841",73,310.25,2
"21843",1809,17929.75,3
"21844",1814,4972.1,2
"21845",1907,1721.09,2
"21846",72,365.62,2
"21847",9,44.55,2
"21849",52,260.74,2
"21850",61,276.75,2
"21851",26,138.72,2
"21864",610,1192.44,2
"21865",223,463.38,2
"21866",537,670.46,2
"21867",266,336.27,2
"21868",2346,2926.98,2
"21870",1357,1668.89,2
"21871",5265,6151.78,2
"21872",1269,1370.73,2
"21873",1586,1752.34,2
"21874",2852,3724.36,2
"21875",2000,2249.56,2
"21876",3548,4058.76000000001,2
"21877",5347,6708.11,2
"21878",2397,1973.75,2
"21879",1027,303.23,2
"21880",1458,668.94,2
"21881",975,315.55,2
"21882",600,191.28,2
"21883",1368,581.06,2
"21884",1017,318.81,2
"21888",1553,5725.71,2
"21889",5778,7215.95,3
"21890",1075,3262.51,2
"21891",7919,10019.47,3
"21892",2914,3656.75,2
"21894",476,610.73,2
"21895",1,4.25,2
"21896",949,2158.5,2
"21897",402,1250.82,2
"21898",445,1423.03,2
"21899",2605,1633.07,2
"21900",3087,1963.03,2
"21901",1746,1142.86,2
"21902",1915,1176.73,2
"21903",1129,2360.58,2
"21904",51,107.1,2
"21905",685,707.41,2
"21906",483,3220.81,2
"21907",2294,4761.54999999999,2
"21908",3635,7208.51999999999,2
"21910",36,59.4,2
"21911",105,173.25,2
"21912",1575,5523.53,2
"21913",305,1142.53,2
"21914",7434,9222.63,3
"21915",20975,23793.93,3
"21916",4363,1771.54,2
"21917",4095,1653.24,2
"21918",7013,2814.7,2
"21922",759,5682.08999999999,2
"21925",403,503.75,2
"21926",414,509.9,2
"21927",622,769.9,2
"21928",9704,18063.6199999999,3
"21929",9889,18429.9799999999,3
"21930",5706,10890.79,3
"21931",11516,21790.9499999999,3
"21932",2467,4363.66,2
"21933",2410,4295.86000000001,2
"21934",1288,2081.2,2
"21935",1763,2824.37,2
"21936",3758,10371.66,2
"21937",1591,4433.45,2
"21942",161,134.55,2
"21943",57,48.45,2
"21944",232,177.88,2
"21945",225,190.79,2
"21946",72,58.9,2
"21947",596,743.98,2
"21948",418,543.07,2
"21949",613,725.49,2
"21955",1159,6635.61,2
"21967",5166,1506.24,2
"21972",292,423.4,2
"21973",159,230.55,2
"21974",2036,2942.51000000001,2
"21975",12134,5934.68,3
"21976",4967,2513.13,2
"21977",24264,11629.7,3
"21980",6523,2003.31,2
"21981",5295,1512.93,2
"21982",7346,2083.58,2
"21983",2223,712.729999999999,2
"21984",3309,1003.95,2
"21985",8569,2550.29,3
"21986",3985,1129.79,2
"21987",2050,1254.74,2
"21988",2194,1663.3,2
"21989",2068,1675.24,2
"21990",1219,1745.05,2
"21991",471,675.53,2
"21992",1163,1658.69,2
"21993",1366,1934.85,2
"22021",350,577.499999999999,2
"22023",1143,481.290000000001,2
"22024",2304,928.989999999998,2
"22025",1776,707.04,2
"22026",1572,647.28,2
"22027",4165,1702.78999999999,2
"22028",2915,1203.49,2
"22029",7858,3130.21999999999,3
"22030",5361,2130.63,2
"22031",363,158.61,2
"22032",361,151.62,2
"22033",336,141.12,2
"22034",3,1.26,2
"22035",1406,574.06,2
"22037",3795,1573.11999999999,2
"22038",475,199.5,2
"22039",250,105,2
"22040",725,304.5,2
"22041",3812,8450.82000000002,2
"22042",372,156.24,2
"22043",1188,283.32,2
"22044",816,196.44,2
"22045",6502,2662.84,2
"22046",2250,929,2
"22047",3400,1384,2
"22048",975,393.5,2
"22049",1025,275.25,2
"22050",1225,498.5,2
"22051",1000,420,2
"22052",571,239.82,2
"22053",4236,3596.42,2
"22055",1248,1665.08,2
"22057",578,648.18,2
"22059",1749,1973.17,2
"22060",233,1118.95,2
"22061",565,3864.63,2
"22062",559,603.89,2
"22063",544,1127.2,2
"22064",1608,2142.6,2
"22065",6440,2892.02,2
"22066",2248,1035.38,2
"22067",389,569.13,2
"22068",437,509.37,2
"22069",220,240.78,2
"22070",874,2034.43,2
"22071",711,1298.79,2
"22072",813,2539.19,2
"22073",300,1074.6,2
"22074",1001,774.59,2
"22075",1565,2019.23,2
"22076",1035,1304.37,2
"22077",8605,14988.59,3
"22078",1300,2610,2
"22079",1715,2831.99,2
"22080",1182,1902.3,2
"22081",595,994.87,2
"22082",2558,4208.78000000001,2
"22083",4307,12043.21,3
"22084",4893,13435.15,3
"22085",507,1415.65,2
"22086",15617,42660.83,3
"22087",3779,10264.05,2
"22088",1698,4683.09999999999,2
"22089",1190,3398.5,2
"22090",6879,18791.8900000001,3
"22091",1945,922.789999999999,2
"22092",668,312.34,2
"22093",1828,806.759999999998,2
"22094",2087,933.239999999998,2
"22095",1578,1432.04,2
"22096",1364,564.479999999999,2
"22097",1591,692.729999999999,2
"22098",1957,911.719999999999,2
"22099",1405,707.629999999999,2
"22100",729,305.81,2
"22101",837,631.62,2
"22102",1533,715.05,2
"22103",1165,714.09,2
"22104",151,120.07,2
"22105",506,566.5,2
"22106",286,584.9,2
"22107",293,967.48,2
"22108",101,246.53,2
"22109",1383,4993.05,2
"22110",618,1564.61,2
"22111",4259,20104.3500000001,3
"22112",5160,23624.2400000001,3
"22113",3156,12191.15,3
"22114",3736,15415.22,3
"22115",1495,1706.81,2
"22116",505,493.39,2
"22117",1290,3802.5,2
"22118",219,748.83,2
"22119",348,1731.36,2
"22120",505,4856.51999999999,2
"22121",333,1930.89,2
"22123",443,794.39,2
"22124",79,130.37,2
"22125",4,23.8,2
"22127",402,479.7,2
"22128",1729,2042.69,2
"22129",992,790.56,2
"22130",1505,1260.53,2
"22131",1890,3370.42,2
"22132",935,772.910000000001,2
"22133",702,585.78,2
"22134",637,255.18,2
"22135",262,114.96,2
"22136",334,531.9,2
"22137",68,191,2
"22138",4797,23007.5500000001,3
"22139",4248,20470.7800000001,3
"22141",2448,5025.58,2
"22142",3073,4339.29,2
"22144",3468,7128.10000000002,2
"22145",30,63,2
"22146",1,1.95,2
"22147",6127,8314.54999999998,3
"22148",1819,3367.05000000001,2
"22149",5890,11566.39,3
"22150",2923,5478.04999999997,2
"22151",14877,5922.27,3
"22152",2351,967.55,2
"22153",2459,1012.62,2
"22154",3532,1457.52,2
"22155",2203,925.26,2
"22156",1875,1588.16,2
"22157",212,180.2,2
"22158",2895,8161.21,2
"22161",4143,857.33,2
"22162",106,312.7,2
"22163",626,580.94,2
"22164",71,209.45,2
"22165",267,1490.65,2
"22166",122,489.9,2
"22167",121,1059.95,2
"22168",139,1171.3,2
"22169",1075,8416.64,2
"22170",1023,6378.15,2
"22171",1723,12294.38,2
"22173",2151,6273.28999999999,2
"22174",2688,4032.56000000001,2
"22175",841,2384.95,2
"22176",489,1423.35,2
"22178",22433,28776.5100000001,3
"22179",796,5110.74,2
